0	2	8	11	13	16	19	21	24	28	30	33	37	41	46	51	54	56	59	61	64	67	69	71	73	74	77	79	81	83	85	86	88	90	91	93	95	97
2	0	6	9	16	14	17	19	22	26	28	31	35	39	44	49	51	54	57	59	62	65	67	69	71	73	76	78	80	81	83	84	86	88	90	92	94	96
8	6	0	3	19	8	11	14	16	20	22	25	29	33	38	43	45	48	51	53	56	59	61	63	65	67	70	72	73	74	76	78	80	82	84	85	86	88
11	9	3	0	21	5	8	10	13	17	19	22	26	30	35	40	42	45	48	50	53	56	58	60	62	64	67	69	71	72	73	75	77	79	81	84	85	87
13	11	5	2	0	3	6	8	11	15	17	20	24	28	33	38	40	43	46	48	51	54	56	58	60	62	65	67	69	71	72	73	75	77	79	81	84	85
16	14	8	5	28	0	3	5	8	12	14	17	21	25	30	35	37	40	43	45	48	51	53	55	57	59	62	64	66	68	70	72	73	74	77	78	80	82
19	17	11	8	30	3	0	2	5	9	11	14	18	22	27	32	34	37	40	42	45	48	50	52	54	56	59	61	63	65	67	69	71	74	76	77	79	80
21	19	13	10	33	5	2	0	3	7	9	12	16	20	25	30	32	35	38	40	43	46	48	50	52	54	57	59	61	63	65	67	69	71	74	76	77	79
24	22	16	13	37	8	5	3	0	4	6	9	13	17	22	27	29	32	35	37	40	43	45	47	49	51	54	56	58	60	62	63	65	67	69	70	74	75
28	26	20	17	41	12	9	7	4	0	2	5	9	13	18	23	25	28	31	33	36	39	41	43	45	47	50	53	55	57	59	61	63	65	67	69	71	73
30	28	22	19	46	14	11	9	6	2	0	3	7	11	16	21	23	26	29	31	34	37	39	41	43	45	48	51	53	55	57	59	61	63	65	67	69	71
33	31	25	22	51	17	14	12	9	5	3	0	4	8	13	18	20	23	26	28	31	34	36	38	40	42	45	48	50	52	54	56	57	59	60	63	65	68
37	35	29	26	53	21	18	16	13	9	7	4	0	4	9	14	16	19	22	24	27	30	32	34	36	38	41	44	46	48	51	53	54	56	58	59	62	66
41	39	33	30	56	25	22	20	17	13	11	8	4	0	5	10	12	15	18	20	23	26	28	30	32	34	37	40	44	46	48	51	53	54	56	58	59	62
46	44	38	35	59	30	27	25	22	18	16	13	9	5	0	5	7	10	13	15	18	21	23	25	27	29	32	35	37	39	41	43	45	47	49	51	53	57
51	49	43	40	61	35	32	30	27	23	21	18	14	10	5	0	2	5	8	10	13	16	18	20	22	24	27	30	32	34	36	38	40	42	44	46	48	50
53	51	45	42	64	37	34	32	29	25	23	20	16	12	7	2	0	3	6	8	11	14	16	18	20	22	25	28	30	32	34	36	38	40	42	44	46	48
56	54	48	45	67	40	37	35	32	28	26	23	19	15	10	5	3	0	3	5	8	11	13	15	17	19	22	25	27	29	31	33	35	37	39	41	43	45
59	57	51	48	69	43	40	38	35	31	29	26	22	18	13	8	6	3	0	2	5	8	10	12	14	16	19	22	24	26	28	30	34	36	38	40	42	43
61	59	53	50	71	45	42	40	37	33	31	28	24	20	15	10	8	5	2	0	3	6	8	10	12	14	17	20	22	24	26	28	30	34	36	38	40	42
64	62	56	53	73	48	45	43	40	36	34	31	27	23	18	13	11	8	5	3	0	3	5	7	9	11	14	17	19	21	24	26	28	30	32	35	37	39
67	65	59	56	74	51	48	46	43	39	37	34	30	26	21	16	14	11	8	6	3	0	2	4	6	8	11	14	16	18	20	22	24	28	30	32	36	37
69	67	61	58	77	53	50	48	45	41	39	36	32	28	23	18	16	13	10	8	5	2	0	2	4	6	9	12	14	16	18	20	22	24	28	30	32	36
71	69	63	60	79	55	52	50	47	43	41	38	34	30	25	20	18	15	12	10	7	4	2	0	2	4	7	9	11	13	17	19	21	23	25	27	28	30
73	71	65	62	60	57	54	52	49	45	43	40	36	32	27	22	20	17	14	12	9	6	4	2	0	2	5	7	9	11	13	17	19	21	23	25	27	29
74	73	67	64	62	59	56	54	51	47	45	42	38	34	29	24	22	19	16	14	11	8	6	4	2	0	3	5	6	7	9	10	13	15	18	20	23	25
77	76	70	67	65	62	59	57	54	51	49	46	42	38	33	28	26	23	20	18	15	12	10	7	5	3	0	2	4	6	8	10	14	16	17	19	20	22
79	78	72	69	67	64	61	59	56	53	51	48	44	40	35	30	28	25	22	20	17	14	12	9	7	5	2	0	3	5	7	9	11	13	15	17	19	20
81	80	73	71	69	66	63	61	58	55	53	50	46	44	37	32	30	27	24	22	19	16	14	11	9	6	4	3	0	2	3	7	9	10	11	13	14	15
83	81	74	72	71	68	65	63	60	57	55	52	48	46	39	34	32	29	26	24	21	18	16	13	11	7	6	5	2	0	3	5	7	8	9	10	11	13
85	83	76	73	72	70	67	65	62	59	57	54	51	48	41	36	34	31	28	26	24	20	18	17	13	9	8	7	3	3	0	2	4	6	8	10	11	12
86	84	78	75	73	72	69	67	63	61	59	56	53	51	43	38	36	33	30	28	26	22	20	19	17	10	10	9	7	5	2	0	2	4	6	7	8	9
88	86	80	77	75	73	71	69	65	63	61	57	54	53	45	40	38	35	34	30	28	24	22	21	19	13	14	11	9	7	4	2	0	3	4	5	6	7
90	88	82	79	77	74	74	71	67	65	63	59	56	54	47	42	40	37	36	32	30	28	24	23	21	15	16	13	10	8	6	4	3	0	2	3	4	5
91	90	84	81	79	77	76	74	69	67	65	60	58	56	49	44	42	39	38	34	32	30	26	25	23	18	17	15	11	9	8	6	4	2	0	2	3	4
93	92	85	84	81	78	77	76	70	69	67	63	59	58	51	46	44	41	40	36	35	32	28	27	25	20	19	17	13	10	10	7	5	3	2	0	2	3
95	94	86	85	84	80	79	77	74	71	69	65	62	59	53	48	46	43	42	38	37	36	30	28	27	23	20	19	14	11	11	8	6	4	3	2	0	2
97	96	88	87	85	82	80	79	75	73	71	68	66	62	57	50	48	45	43	40	39	37	32	30	29	25	22	20	15	13	12	9	7	5	4	3	2	0
