0	2	8	11	13	16	19	21	24	28	30	33	37	41	
2	0	6	9	16	14	17	19	22	26	28	31	35	39	
8	6	0	3	19	8	11	14	16	20	22	25	29	33	
11	9	3	0	21	5	8	10	13	17	19	22	26	30	
13	11	5	2	0	3	6	8	11	15	17	20	24	28	
16	14	8	5	28	0	3	5	8	12	14	17	21	25	
19	17	11	8	30	3	0	2	5	9	11	14	18	22	
21	19	13	10	33	5	2	0	3	7	9	12	16	20	
24	22	16	13	37	8	5	3	0	4	6	9	13	17	
28	26	20	17	41	12	9	7	4	0	2	5	9	13	
30	28	22	19	46	14	11	9	6	2	0	3	7	11	
33	31	25	22	51	17	14	12	9	5	3	0	4	8	
37	35	29	26	53	21	18	16	13	9	7	4	0	4	
41	39	33	30	56	25	22	20	17	13	11	8	4	0	
